"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1621,3,5,"Science Fiction",342,12
1626,4,4,"Science Fiction",449,12
1727,5,1,"Mystery",268,10
1553,4,1,"Science Fiction",433,13
1582,5,2,"Romance",498,11
1494,5,2,"Science Fiction",512,12
1680,4,3,"Science Fiction",441,10
1741,5,1,"Science Fiction",440,9
1700,5,4,"Romance",272,11
1655,6,3,"Mystery",519,12
1978,5,1,"Science Fiction",318,7
1587,8,3,"Romance",593,13
1403,3,2,"Science Fiction",204,17
1390,1,6,"Science Fiction",313,18
1816,6,3,"Romance",234,9
1596,4,0,"Mystery",402,12
1784,3,1,"Mystery",358,10
1542,3,2,"Mystery",231,13
1657,4,5,"Science Fiction",455,13
1905,4,1,"Romance",405,9
1733,4,3,"Science Fiction",338,11
1705,5,0,"Science Fiction",401,11
1548,3,5,"Science Fiction",290,13
1524,4,4,"Science Fiction",463,14
1775,5,3,"Science Fiction",337,9
1870,6,4,"Science Fiction",452,8
1582,3,8,"Mystery",298,12
1701,6,2,"Mystery",494,10
2172,9,4,"Science Fiction",340,5
1492,2,3,"Science Fiction",464,13
1568,7,3,"Science Fiction",582,13
1689,5,6,"Science Fiction",434,11
1485,2,5,"Science Fiction",471,15
1496,4,2,"Mystery",380,15
1388,4,1,"Mystery",240,16
1458,3,6,"Mystery",329,16
1469,4,5,"Mystery",196,14
1487,3,1,"Science Fiction",297,14
1957,7,5,"Mystery",371,8
1782,5,3,"Romance",285,10
1637,4,3,"Mystery",236,12
1671,4,2,"Science Fiction",329,11
1620,3,4,"Mystery",350,13
1580,4,3,"Science Fiction",306,11
1198,4,5,"Mystery",125,24
1723,5,2,"Science Fiction",289,11
1499,4,4,"Science Fiction",142,13
989,2,2,"Science Fiction",146,44
1476,3,3,"Mystery",277,15
1437,4,4,"Science Fiction",204,16
1387,4,3,"Romance",156,17
1158,4,2,"Science Fiction",99,28
1752,4,5,"Romance",330,10
1706,4,6,"Science Fiction",246,10
1617,3,7,"Science Fiction",328,12
1645,5,3,"Science Fiction",444,12
1907,4,3,"Mystery",364,9
