"participant","minutes","n_previous_marathons","age","gender","hills","weather"
125,420,6,28,"Female",11,"Light Rain"
313,377,8,52,"Female",13,"Sunny"
282,342,4,34,"Male",11,"Sunny"
27,349,7,34,"Female",8,"Sunny"
88,322,10,24,"Female",12,"Sunny"
244,271,8,23,"Male",12,"Cloudy"
24,194,14,42,"Male",7,"Light Rain"
559,448,7,36,"Female",13,"Cloudy"
71,445,9,59,"Female",10,"Light Rain"
45,341,4,34,"Female",9,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
1,364,5,28,"Female",11,"Cloudy"
112,387,6,38,"Female",9,"Cloudy"
191,394,5,34,"Female",14,"Cloudy"
72,204,8,18,"Male",9,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
382,355,9,45,"Male",11,"Sunny"
455,401,5,33,"Female",6,"Cloudy"
588,241,8,29,"Male",7,"Sunny"
538,354,9,27,"Male",14,"Cloudy"
293,485,3,43,"Female",10,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
465,360,7,39,"Male",13,"Sunny"
81,308,5,35,"Male",7,"Sunny"
177,357,6,52,"Female",9,"Cloudy"
592,423,3,41,"Female",2,"Light Rain"
598,253,6,31,"Female",10,"Sunny"
187,358,5,44,"Female",13,"Sunny"
331,379,8,28,"Female",14,"Cloudy"
318,258,5,28,"Female",7,"Sunny"
426,318,8,38,"Female",6,"Sunny"
247,300,6,23,"Male",8,"Cloudy"
140,388,6,47,"Other",9,"Sunny"
14,296,7,29,"Male",9,"Light Rain"
367,386,5,37,"Female",9,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
158,225,5,30,"Male",5,"Sunny"
568,287,9,46,"Male",7,"Cloudy"
329,373,6,21,"Female",12,"Cloudy"
444,359,4,42,"Male",8,"Cloudy"
286,337,6,33,"Male",10,"Sunny"
235,443,5,54,"Other",5,"Cloudy"
395,300,4,20,"Male",8,"Light Rain"
101,325,8,34,"Female",3,"Cloudy"
515,329,9,38,"Male",15,"Cloudy"
77,372,6,25,"Female",14,"Sunny"
29,334,5,48,"Other",13,"Sunny"
135,385,7,35,"Female",6,"Sunny"
369,396,6,41,"Male",8,"Sunny"
542,464,4,62,"Female",11,"Sunny"
262,302,10,41,"Male",9,"Sunny"
365,308,6,13,"Female",6,"Cloudy"
153,291,6,39,"Female",8,"Sunny"
212,386,5,37,"Female",12,"Cloudy"
188,244,7,29,"Female",10,"Sunny"
168,312,5,52,"Female",10,"Sunny"
167,345,9,42,"Female",13,"Cloudy"
524,332,3,43,"Male",8,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
359,359,6,43,"Female",15,"Sunny"
117,313,7,34,"Female",8,"Light Rain"
561,399,3,44,"Female",3,"Cloudy"
305,327,8,43,"Male",11,"Sunny"
56,463,5,38,"Female",13,"Sunny"
530,317,6,21,"Female",11,"Light Rain"
203,384,8,45,"Female",7,"Sunny"
197,282,6,37,"Female",4,"Sunny"
277,378,12,42,"Female",9,"Sunny"
186,328,7,43,"Female",9,"Cloudy"
51,391,3,45,"Male",10,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
357,330,8,45,"Female",12,"Sunny"
123,350,6,36,"Male",12,"Sunny"
377,285,9,24,"Female",9,"Sunny"
206,304,10,34,"Male",14,"Cloudy"
387,276,5,33,"Male",7,"Sunny"
495,340,4,33,"Male",10,"Sunny"
591,253,7,25,"Female",4,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
171,374,8,55,"Female",10,"Cloudy"
551,387,6,41,"Male",6,"Sunny"
218,387,6,38,"Female",12,"Sunny"
333,324,9,40,"Female",10,"Cloudy"
425,260,10,35,"Male",8,"Cloudy"
314,385,3,35,"Female",7,"Cloudy"
322,310,5,38,"Male",8,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
256,261,9,20,"Female",14,"Cloudy"
368,394,2,33,"Male",5,"Light Rain"
183,365,8,48,"Female",9,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
500,302,9,41,"Male",10,"Light Rain"
402,220,4,20,"Male",10,"Sunny"
452,350,6,34,"Male",5,"Sunny"
475,329,8,38,"Male",12,"Sunny"
99,240,7,22,"Female",11,"Sunny"
271,440,10,45,"Other",10,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
380,257,12,28,"Male",6,"Cloudy"
207,194,6,26,"Female",4,"Sunny"
503,346,5,44,"Female",5,"Cloudy"
84,338,9,24,"Female",10,"Sunny"
416,441,5,46,"Female",9,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
46,369,4,17,"Female",10,"Sunny"
397,291,5,33,"Male",7,"Cloudy"
19,379,6,52,"Male",7,"Cloudy"
336,246,7,16,"Female",8,"Cloudy"
556,370,7,29,"Female",10,"Sunny"
144,296,5,33,"Male",21,"Sunny"
103,302,7,29,"Female",7,"Cloudy"
47,280,5,36,"Male",12,"Cloudy"
6,439,3,38,"Female",11,"Sunny"
312,273,7,23,"Female",4,"Sunny"
399,422,4,39,"Female",15,"Sunny"
393,349,8,47,"Male",11,"Light Rain"
335,337,6,21,"Male",12,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
355,352,8,40,"Other",13,"Cloudy"
448,365,4,30,"Male",7,"Cloudy"
5,276,11,31,"Male",9,"Cloudy"
226,414,6,41,"Female",12,"Sunny"
510,373,6,33,"Female",13,"Sunny"
502,234,6,28,"Male",10,"Sunny"
364,219,6,35,"Male",-999,"Sunny"
269,335,2,32,"Male",9,"Sunny"
315,382,6,46,"Female",9,"Cloudy"
420,451,2,39,"Female",6,"Cloudy"
321,239,10,21,"Male",4,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
176,242,8,37,"Male",11,"Sunny"
297,361,13,34,"Male",16,"Cloudy"
145,314,10,29,"Female",11,"Sunny"
73,271,8,30,"Female",19,"Sunny"
558,437,7,31,"Female",11,"Cloudy"
219,222,9,25,"Female",11,"Cloudy"
110,318,4,37,"Male",7,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
273,258,3,27,"Male",5,"Light Rain"
316,223,9,9,"Female",8,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
62,458,4,42,"Other",10,"Light Rain"
259,354,7,33,"Male",13,"Light Rain"
404,308,7,36,"Female",6,"Sunny"
222,337,12,34,"Female",12,"Cloudy"
409,316,6,37,"Female",10,"Light Rain"
330,303,11,56,"Male",11,"Sunny"
403,170,11,28,"Male",7,"Cloudy"
451,393,7,50,"Male",11,"Cloudy"
25,318,8,30,"Female",4,"Sunny"
95,380,6,29,"Male",7,"Sunny"
554,182,10,23,"Male",13,"Sunny"
361,401,4,44,"Other",8,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
86,358,6,49,"Male",6,"Light Rain"
360,255,10,36,"Female",8,"Cloudy"
572,230,11,36,"Female",14,"Cloudy"
459,360,4,15,"Female",7,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
136,370,8,24,"Female",-999,"Cloudy"
180,261,7,33,"Female",7,"Cloudy"
210,352,4,34,"Female",5,"Cloudy"
473,392,6,40,"Female",11,"Cloudy"
489,393,6,16,"Male",11,"Sunny"
291,215,5,7,"Female",7,"Sunny"
427,386,6,41,"Female",17,"Cloudy"
59,261,10,10,"Male",11,"Heavy Rain"
479,370,5,40,"Female",10,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
527,292,11,31,"Female",9,"Sunny"
328,351,3,24,"Female",8,"Sunny"
389,365,4,32,"Female",5,"Cloudy"
319,335,6,23,"Male",11,"Sunny"
494,200,8,38,"Female",6,"Cloudy"
547,387,3,29,"Female",14,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
127,453,4,59,"Female",14,"Sunny"
205,283,6,20,"Female",10,"Cloudy"
160,378,5,32,"Female",6,"Sunny"
294,262,10,32,"Female",6,"Sunny"
575,327,12,50,"Female",8,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
213,386,5,44,"Female",14,"Sunny"
488,278,8,15,"Female",8,"Sunny"
21,287,10,37,"Male",17,"Sunny"
371,325,6,30,"Female",12,"Cloudy"
326,345,3,44,"Female",8,"Sunny"
342,379,4,38,"Female",12,"Cloudy"
430,292,10,45,"Female",8,"Sunny"
250,215,8,29,"Female",8,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
484,274,8,23,"Female",12,"Sunny"
350,328,8,45,"Male",10,"Sunny"
149,283,5,14,"Male",9,"Light Rain"
270,189,7,36,"Male",9,"Sunny"
254,365,5,37,"Female",13,"Cloudy"
265,272,7,23,"Female",8,"Light Rain"
540,412,5,38,"Male",9,"Heavy Rain"
34,403,9,50,"Female",7,"Sunny"
199,432,4,39,"Female",14,"Cloudy"
385,262,7,25,"Male",13,"Sunny"
211,314,7,34,"Male",11,"Cloudy"
274,403,4,38,"Female",11,"Cloudy"
121,392,8,53,"Male",10,"Cloudy"
383,365,6,28,"Female",-999,"Sunny"
480,384,8,32,"Female",7,"Cloudy"
30,343,4,35,"Male",7,"Cloudy"
26,272,8,42,"Male",19,"Cloudy"
434,217,15,49,"Male",6,"Cloudy"
303,352,9,35,"Female",9,"Sunny"
374,390,7,29,"Female",13,"Cloudy"
64,382,5,45,"Male",12,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
456,215,10,34,"Female",13,"Sunny"
381,327,7,39,"Male",13,"Cloudy"
454,423,3,37,"Male",9,"Sunny"
419,371,7,39,"Female",14,"Sunny"
501,345,6,39,"Female",7,"Sunny"
181,257,10,35,"Male",10,"Cloudy"
354,377,4,20,"Female",14,"Sunny"
238,289,10,39,"Male",13,"Sunny"
278,453,7,36,"Female",12,"Sunny"
544,312,5,36,"Male",15,"Sunny"
204,334,7,43,"Female",11,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
215,487,3,29,"Male",11,"Heavy Rain"
474,128,9,19,"Female",9,"Sunny"
477,317,8,35,"Other",15,"Sunny"
478,415,0,32,"Female",8,"Cloudy"
138,319,9,46,"Male",6,"Sunny"
257,392,4,34,"Male",9,"Cloudy"
467,395,5,48,"Female",9,"Cloudy"
482,295,9,44,"Male",11,"Sunny"
560,524,2,51,"Female",17,"Cloudy"
231,289,8,41,"Female",9,"Sunny"
264,274,12,50,"Male",9,"Light Rain"
285,424,3,25,"Female",14,"Cloudy"
100,327,7,31,"Female",8,"Cloudy"
90,387,5,38,"Male",12,"Cloudy"
466,374,5,45,"Female",11,"Sunny"
320,209,10,50,"Male",7,"Light Rain"
446,209,8,13,"Male",15,"Light Rain"
421,369,7,25,"Female",10,"Cloudy"
379,390,6,26,"Female",15,"Sunny"
308,283,2,21,"Female",10,"Sunny"
230,207,11,29,"Male",5,"Sunny"
252,324,5,27,"Female",7,"Cloudy"
363,433,10,55,"Male",12,"Sunny"
414,292,7,34,"Female",9,"Sunny"
327,103,17,37,"Male",11,"Sunny"
224,390,8,32,"Female",9,"Sunny"
66,279,6,33,"Female",9,"Light Rain"
32,267,11,23,"Female",7,"Sunny"
130,296,8,21,"Male",9,"Cloudy"
272,391,1,20,"Male",14,"Cloudy"
407,302,8,38,"Female",8,"Cloudy"
498,367,3,31,"Male",10,"Cloudy"
499,238,8,37,"Male",8,"Light Rain"
104,291,12,35,"Male",12,"Sunny"
391,156,13,34,"Male",8,"Sunny"
74,508,0,43,"Female",12,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
266,258,7,36,"Female",10,"Cloudy"
509,285,11,38,"Male",8,"Cloudy"
246,281,8,44,"Other",14,"Light Rain"
281,401,9,32,"Female",11,"Cloudy"
157,424,7,46,"Female",13,"Cloudy"
220,179,11,33,"Female",7,"Cloudy"
464,388,4,18,"Female",13,"Sunny"
92,265,8,13,"Male",14,"Cloudy"
229,374,8,39,"Female",13,"Cloudy"
460,373,4,33,"Male",7,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
148,419,3,44,"Male",14,"Cloudy"
196,309,7,21,"Male",12,"Light Rain"
324,352,8,37,"Female",12,"Sunny"
594,436,4,53,"Female",10,"Sunny"
78,362,8,36,"Female",10,"Cloudy"
116,261,4,9,"Female",14,"Sunny"
33,228,8,28,"Male",11,"Sunny"
302,390,2,35,"Female",13,"Sunny"
133,408,8,38,"Female",8,"Heavy Rain"
405,283,6,21,"Female",7,"Light Rain"
154,488,5,42,"Female",10,"Sunny"
193,280,13,48,"Male",12,"Sunny"
401,161,13,28,"Male",13,"Cloudy"
486,408,4,29,"Female",11,"Sunny"
424,280,6,20,"Female",8,"Sunny"
152,368,7,45,"Male",9,"Sunny"
566,356,8,61,"Female",6,"Light Rain"
532,340,8,29,"Female",6,"Sunny"
432,318,7,44,"Male",7,"Sunny"
119,349,7,40,"Male",17,"Cloudy"
41,388,4,41,"Female",11,"Sunny"
76,291,5,29,"Male",9,"Sunny"
113,495,3,42,"Female",4,"Cloudy"
338,332,8,46,"Male",4,"Cloudy"
195,252,11,26,"Female",9,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
564,316,5,26,"Male",8,"Sunny"
217,313,6,34,"Male",14,"Light Rain"
237,440,5,47,"Male",11,"Light Rain"
31,310,12,45,"Male",7,"Sunny"
410,303,8,42,"Female",10,"Cloudy"
511,284,7,10,"Female",10,"Sunny"
348,298,6,32,"Female",4,"Cloudy"
228,319,7,36,"Female",7,"Cloudy"
161,332,7,44,"Male",10,"Cloudy"
288,370,5,27,"Male",9,"Cloudy"
48,288,7,29,"Female",12,"Light Rain"
394,266,9,27,"Male",12,"Sunny"
227,342,7,47,"Male",10,"Cloudy"
526,310,8,29,"Female",12,"Cloudy"
417,257,12,43,"Female",14,"Sunny"
512,398,4,19,"Female",11,"Sunny"
142,403,6,40,"Female",12,"Cloudy"
12,418,7,43,"Female",6,"Sunny"
232,322,6,30,"Female",16,"Cloudy"
241,167,7,32,"Female",5,"Sunny"
553,323,7,45,"Female",7,"Sunny"
441,433,5,42,"Female",9,"Heavy Rain"
356,210,13,27,"Female",10,"Cloudy"
223,261,8,28,"Male",11,"Cloudy"
534,348,9,50,"Male",12,"Sunny"
17,300,5,34,"Male",11,"Cloudy"
578,537,2,53,"Female",13,"Light Rain"
36,320,7,14,"Female",14,"Sunny"
243,474,4,42,"Female",13,"Heavy Rain"
129,406,4,51,"Female",9,"Sunny"
485,171,11,22,"Female",5,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
245,370,6,44,"Male",6,"Sunny"
69,244,9,44,"Other",9,"Light Rain"
22,365,8,47,"Female",7,"Sunny"
431,321,12,52,"Male",6,"Sunny"
537,395,6,17,"Female",11,"Cloudy"
296,211,9,23,"Male",11,"Sunny"
93,321,6,44,"Female",6,"Sunny"
98,347,4,43,"Male",5,"Cloudy"
541,273,9,27,"Male",8,"Heavy Rain"
23,254,8,22,"Female",7,"Cloudy"
40,373,5,34,"Male",11,"Cloudy"
351,310,4,16,"Female",10,"Cloudy"
493,467,7,44,"Female",11,"Heavy Rain"
61,299,8,33,"Female",9,"Cloudy"
469,351,5,32,"Female",7,"Sunny"
491,261,12,39,"Female",10,"Cloudy"
492,389,3,26,"Male",9,"Cloudy"
275,266,9,31,"Male",17,"Sunny"
201,430,5,29,"Female",-999,"Sunny"
378,283,5,22,"Male",7,"Cloudy"
55,362,7,26,"Female",9,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
529,273,14,23,"Female",10,"Cloudy"
353,246,7,41,"Male",10,"Cloudy"
390,202,5,14,"Male",8,"Light Rain"
386,277,11,31,"Female",9,"Cloudy"
170,387,5,46,"Female",8,"Light Rain"
91,333,4,29,"Female",10,"Heavy Rain"
75,331,7,40,"Other",15,"Cloudy"
165,293,6,24,"Female",9,"Cloudy"
287,390,3,39,"Female",14,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
175,258,8,33,"Male",4,"Light Rain"
505,393,6,38,"Male",8,"Light Rain"
39,306,6,44,"Male",11,"Sunny"
548,282,10,45,"Female",10,"Light Rain"
209,363,4,37,"Female",11,"Cloudy"
523,391,6,34,"Female",14,"Sunny"
268,310,6,41,"Female",8,"Cloudy"
411,362,6,46,"Female",9,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
263,249,8,24,"Male",7,"Sunny"
504,325,3,47,"Male",11,"Sunny"
96,314,5,50,"Other",4,"Sunny"
344,264,5,41,"Female",12,"Cloudy"
